"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","mxpsd","max","fog","NUM_COLLISIONS"
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,18.1,33.1,0,1.77396147374433
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,20,43,0,0.893724706247387
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,12,48,0,0.757605618490128
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,11.1,50,1,1.67414080938901
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,8.9,50,1,1.98267740830546
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,12,48,1,1.27485815196771
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,28,51.1,1,2.47270612423159
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,27,51.1,0,2.00990122585691
"60",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,19,39.9,0,1.3383803929211
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,18.1,39,0,1.03891839985513
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,19,48,0,2.30936321892288
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,20,50,1,2.19139334286659
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,26,51.1,1,2.10064728436175
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,18.1,51.1,0,2.00082662000643
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,26,50,0,3.30756986247611
"67",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,41,48.9,1,1.87378213809965
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,20,46.9,0,0.902799312097871
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,18.1,50,0,2.15509491946465
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,17.1,52,0,1.2839327578182
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,18.1,52,0,1.49264869237933
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,13,51.1,0,1.3383803929211
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,22,52,1,2.20046794871707
"74",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,22.9,52,1,0.567038895629966
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,15,50,0,0.204054661610609
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,15,46,0,0.630561136583353
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,18.1,52,1,0.594262713181418
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,11.1,52,0,-0.0954073314553612
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,27,50,1,0.27665150841448
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,19,52,1,-0.0228104846514897
"81",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,22,54,0,-0.639883682484397
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,18.1,37.9,0,-1.53826966168231
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,26,44.1,0,-0.757853558540688
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,28,48,0,-0.975644098952303
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,18.1,48,0,-1.27510609201827
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,22.9,46.9,0,-1.10268858085908
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,18.1,59,0,-1.03009173405521
"88",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,9.9,59,0,-1.13898700426101
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,22.9,53.1,0,-1.47474742072892
"90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,20,48.9,0,-1.31140451542021
"91",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,20,48.9,0,-1.36585215052311
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,25.1,44.1,0,-1.39307596807456
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,25.1,45,0,-1.29325530371924
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,34,45,0,-1.06639015745714
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,26,45,0,-1.38400136222408
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,8.9,50,0,-1.94662692495408
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,14,55,0,-1.64716493188811
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,15,57.9,0,-1.62901572018715
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,14,57.9,0,-1.66531414358908
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,28.9,51.1,1,-1.86495547229973
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,29.9,51.1,0,-1.75606020209392
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,21,51.1,0,-1.70161256699102
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,15,53.1,0,-1.83773165474828
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,39,57,0,-1.54734426753279
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,28.9,57,0,-1.57456808508424
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,14,48,0,-1.53826966168231
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,17.1,52,0,-1.54734426753279
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,22.9,52,0,-1.3749267563736
"109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,22.9,46.9,0,-1.66531414358908
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,24.1,52,0,-1.87403007815021
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,19,52,0,-1.52919505583182
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,24.1,52,0,-1.70161256699102
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,29.9,51.1,0,-1.45659820902795
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,19,48.9,0,-1.81958244304731
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,22.9,50,0,-1.23880766861634
"116",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,15,59,0,-1.42029978562602
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,22,59,0,-1.52919505583182
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,27,52,1,-1.61086650848618
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,31.1,50,0,-1.12083779256005
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,12,55,0,-1.55641887338327
"121",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,22,55,0,-1.22973306276585
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,26,55.9,1,-1.11176318670956
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,21,61,1,-1.08453936915811
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,15.9,61,0,-1.28418069786876
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,15.9,69.1,0,-1.22065845691537
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,19,69.1,0,-1.22065845691537
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,14,57,0,-1.12991239841053
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,15.9,55,0,-1.21158385106488
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,18.1,55.9,0,-1.19343463936392
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,28,55.9,0,-1.45659820902795
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,26,54,0,-1.32047912127069
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,25.1,57.9,0,-1.22973306276585
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,22.9,57.9,0,-1.06639015745714
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,24.1,55,0,-0.875823434596979
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,15.9,60.1,0,-1.24788227446682
