"","day","mxpsd","max","fog","NUM_COLLISIONS"
"3473",6,21,66.2,1,-1.04824094575617
"2663",7,18.1,66,0,-1.01194252235424
"1388",1,14,66,0,-0.857674222896011
"78",2,8,69.1,1,-0.766928164391172
"197",3,8.9,69.1,1,-0.630809076633913
"1220",4,13,66.9,1,-0.903047252148431
"2166",5,15.9,66.9,1,-0.458391565474718
"2278",6,17.1,64,1,-0.748778952690204
"3431",7,21,66.9,0,-0.912121857998915
"3018",1,19,66.9,0,-1.02101712820472
"681",2,11.1,62.1,0,-1.01194252235424
"1866",3,15,66.9,0,-0.839525011195044
"1204",4,13,73.9,0,-0.57636144153101
"642",5,11.1,73.9,1,-0.549137623979558
"1188",6,13,64.9,1,-0.422093142072783
"2670",7,18.1,66,1,-0.930271069699883
"489",1,11.1,73,0,-0.667107500035849
"124",2,8.9,73,0,-0.521913806428106
"732",3,12,72,1,-0.639883682484397
"2926",4,19,70,1,-0.521913806428106
"1098",5,13,70,1,-0.285974054315524
"1406",6,14,70,1,-0.240601025063104
"3176",7,20,70,0,-0.730629740989236
"2915",1,19,63,0,-0.776002770241656
"2725",2,18.1,69.1,0,-0.449316959624235
"896",3,12,71.1,0,-0.585436047381493
"208",4,8.9,71.1,1,-0.748778952690204
"756",5,12,73,1,-0.0228104846514897
"1851",6,15,73.9,1,-0.567286835680526
"235",7,8.9,75.9,1,-0.57636144153101
"88",1,8,75.9,0,-0.122631149006813
"662",2,11.1,75.9,1,-0.158929572408749
"1179",3,13,71.1,1,-0.0772581197543933
"1035",4,13,77,0,-0.521913806428106
"762",5,12,77,0,0.258502296713512
"1022",6,13,73,0,-0.322272477717459
"1659",7,15,73,0,-0.621734470783429
"1542",1,14,73.9,1,-0.0681835139039094
"640",2,11.1,73.9,0,-0.27689944846504
"274",3,9.9,73,1,-0.449316959624235
"1116",4,13,75,1,0.285726114264964
"2609",5,18.1,77,1,-0.0591089080534255
"1041",6,13,77,1,-0.27689944846504
"493",7,11.1,73,1,-0.168004178259233
"2932",1,19,75,1,-0.467466171325202
"837",2,12,75,0,-0.594510653231977
"1198",3,13,73.9,0,-0.376720112820363
"620",4,11.1,78.1,0,0.0407117563018978
"1822",5,15,78.1,1,-0.113556543156329
"2480",6,17.1,75.9,1,-0.313197871866976
"1990",7,15.9,77,1,-0.149854966558265
"505",1,11.1,77,1,-0.168004178259233
"1769",2,15,79,1,0.104233997255285
"2938",3,19,79,0,-0.367645506969879
"1402",4,14,70,0,0.122383208956253
"901",5,12,71.1,0,-0.00466127295052188
"418",6,9.9,75.9,1,0.0679355738533496
"735",7,12,72,1,0.0407117563018978
"1231",1,13,75.9,1,-0.249675630913588
"485",2,11.1,88,1,0.204054661610609
"487",3,11.1,88,1,-0.168004178259233
"1411",4,14,82,1,0.213129267461092
"522",5,11.1,81,1,0.0316371504514138
"595",6,11.1,80.1,1,-0.158929572408749
"2391",7,17.1,82,0,0.0407117563018978
"2157",1,15.9,84.9,1,0.104233997255285
"1540",2,14,84.9,0,-0.0954073314553612
"651",3,11.1,82.9,0,0.0860847855543174
"1223",4,13,82.9,1,-0.0772581197543933
"880",5,12,80.1,1,0.312949931816416
"652",6,11.1,82.9,1,0.603337319031902
"1868",7,15,82.9,1,-0.204302601661168
"1751",1,15,82,1,0.403695990321255
"3794",2,24.1,82,1,1.29300736366868
"2316",3,17.1,81,0,0.331099143517384
"632",4,11.1,84.9,1,0.430919807872707
"914",5,12,84.9,1,0.258502296713512
"234",6,8.9,75.9,1,-0.440242353773751
"894",7,12,78.1,0,-0.23152641921262
"1811",1,15,80.1,0,0.104233997255285
"786",2,12,81,0,0.0770101797038335
"1054",3,13,81,1,-0.140780360707781
"1110",4,13,86,1,-0.304123266016492
"1758",5,15,86,0,0.3220245376669
"3425",6,21,84.9,1,0.0407117563018978
"3019",7,19,75.9,0,-0.267824842614556
"3973",1,26,71.1,0,-0.186153389960201
"2182",2,15.9,75.9,0,0.0225625446009299
"619",3,11.1,78.1,1,-0.204302601661168
"293",4,9.9,81,0,-0.0228104846514897
"1664",5,15,77,0,0.358322961068835
"789",6,12,81,0,0.176830844059157
"518",7,11.1,81,1,0.0679355738533496
"196",1,8.9,80.1,1,0.104233997255285
"2314",2,17.1,81,1,-0.204302601661168
"3128",3,20,81,0,0.013487938750446
"492",4,11.1,73,0,0.312949931816416
"893",5,12,78.1,0,-0.0228104846514897
"2135",6,15.9,78.1,1,-0.158929572408749
"3438",7,21,75.9,0,-0.0500343022029415
"1561",1,14,75.9,0,-0.131705754857297
"1982",2,15.9,73,0,0.258502296713512
"1328",3,14,73,0,0.00441333289996205
"752",4,12,73,1,0.494442048826094
"782",5,12,81,1,0.675934165835773
"1339",6,14,81,0,0.48536744297561
"942",7,12,75.9,0,-0.140780360707781
"1431",1,14,75,0,-0.122631149006813
"44",2,8,77,1,0.258502296713512
"46",3,8,77,1,-0.149854966558265
"13",4,7,77,1,0.349248355218351
"3551",5,22,75,1,0.385546778620287
"2859",6,19,73,0,-0.0409596963524576
"1650",7,15,72,0,-0.57636144153101
"3180",1,20,75,0,-0.177078784109717
"3182",2,20,75,0,-0.0681835139039094
"1167",3,13,69.1,0,-0.0137358788010058
"270",4,9.9,73,0,0.122383208956253
"3645",5,22.9,73,0,0.294800720115448
"3433",6,21,66.9,0,0.194980055760125
"3165",7,20,63,0,-0.304123266016492
"3674",1,22.9,63,0,0.013487938750446
"4092",2,28,64.9,0,-0.0137358788010058
"2741",3,18.1,71.1,0,0.430919807872707
"940",4,12,75.9,0,-0.104481937305845
"422",5,9.9,75.9,1,0.358322961068835
"125",6,8.9,73,1,0.194980055760125
"495",7,11.1,73,1,0.0588609680028656
"1030",1,13,73,0,-0.0772581197543933
"32",2,8,68,1,0.0770101797038335
"4027",3,27,70,1,0.349248355218351
"2385",4,17.1,70,0,0.213129267461092
"2675",5,18.1,70,1,0.376472172769803
"34",6,8,68,0,0.131457814806737
"546",7,11.1,66,0,-0.358570901119395
"1370",1,14,59,0,-0.0591089080534255
"719",2,12,64,0,0.149607026507705
"4026",3,27,70,0,-0.00466127295052188
"3501",4,22,64,0,0.213129267461092
"2343",5,17.1,55,0,0.194980055760125
"3367",6,21,70,0,-0.285974054315524
"2845",7,19,64,0,-0.549137623979558
"2470",1,17.1,57.2,0,0.131457814806737
"2997",2,19,64.4,0,0.131457814806737
"2058",3,15.9,66,0,0.222203873311576
"1384",4,14,66,1,0.0225625446009299
"1399",5,14,70,0,-0.0409596963524576
"4160",6,29.9,63,0,0.240353085012544
"808",7,12,61,0,-0.0318850905019737
"52",1,8,63,0,-0.295048660166008
"254",2,9.9,64,1,0.249427690863028
"33",3,8,68,1,0.267576902563996
"478",4,11.1,72,1,-0.403943930371815
"471",5,11.1,68,1,0.258502296713512
