"","day","mxpsd","max","fog","NUM_COLLISIONS"
"4322",3,NA,75.9,0,-0.29403067691619
"4308",4,NA,77,0,0.341758405278178
"1820",5,15,78.1,0,1.69810844729283
"1668",6,15,77,1,1.16828421213086
"2305",7,17.1,77,1,0.235793558245783
"2394",1,17.1,75,0,0.468916221717051
"2606",2,18.1,77,0,-0.145679891070838
"2611",3,18.1,77,0,0.850389671033672
"1165",4,13,69.1,0,0.871582640440151
"1218",5,13,66.9,0,1.74049438610579
"2985",6,19,71.1,0,0.977547487472546
"1432",7,14,75,0,0.532495129936488
"1762",1,15,75,0,-0.272837707509711
"2763",2,18.1,66.9,0,0.320565435871699
"2144",3,15.9,71.1,0,-0.69669709563929
"5",4,7,72,0,1.38021390619565
"728",5,12,72,0,1.23186312035029
"2293",6,17.1,72,0,-0.739083034452248
"2291",7,17.1,68,0,-0.717890065045769
"2671",1,18.1,70,0,-0.124486921664359
"128",2,8.9,73,0,0.384144344091136
"9",3,7,73,1,0.193407619432825
"264",4,9.9,72,1,1.06231936509846
"263",5,9.9,72,1,1.65572250847987
"1658",6,15,73,0,0.765617793407756
"3324",7,21,73,0,0.341758405278178
"2730",1,18.1,69.1,0,0.320565435871699
"3166",2,20,63,0,-0.0185220746319641
"1971",3,15.9,72,0,1.31663499797621
"1011",4,13,72,0,1.44379281441508
"1972",5,15.9,72,0,1.65572250847987
"737",6,12,72,0,0.193407619432825
"2156",7,15.9,64.9,0,-1.41725805545957
"3547",1,22,70,0,0.574881068749446
"3888",2,25.1,70,0,0.426530282904093
"4281",3,46,64.4,0,0.426530282904093
"4228",4,34,55,0,0.871582640440151
"1710",5,15,57,0,1.14709124272438
"3235",6,20,64.4,0,1.04112639569198
"3429",7,21,66.9,0,1.25305608975677
"1864",1,15,66.9,0,0.596074038155925
"629",2,11.1,64.9,0,-0.569539279200416
"1479",3,14,57.9,0,0.384144344091136
"147",4,8.9,55,0,0.29937246646522
"2886",5,19,55,0,1.76168735551227
"2",6,6,55,0,0.680845915781841
"1468",7,14,55.9,0,-0.802661942671685
"3667",1,22.9,59,0,0.553688099342967
"1383",2,14,63,1,0.511302160530009
"1386",3,14,66,1,0.913968579253109
"159",4,8.9,66,0,-0.209258799290274
"4189",5,31.1,64.9,0,1.06231936509846
"3424",6,21,64.9,1,0.680845915781841
"3834",7,24.1,62.1,0,-0.717890065045769
"2348",1,17.1,57,0,0.850389671033672
"3154",2,20,57,0,0.256986527652262
"1900",3,15,51.1,0,0.29937246646522
"1957",4,15.9,64,0,1.0199334262855
"2584",5,18.1,64,0,0.977547487472546
"2506",6,17.1,62.1,0,0.0450568335874727
"1480",7,14,57.9,0,-0.633118187419853
"3348",1,21,59,0,0.235793558245783
"3158",2,20,59,0,0.786810762814235
"3284",3,21,46,0,1.38021390619565
"2346",4,17.1,57,0,-1.81992447418267
"3660",5,22.9,57,0,-0.8874338202976
"3841",6,24.1,53.1,0,-0.823854912078164
"1353",7,14,45,0,-0.675504126232811
"2548",1,18.1,48,0,0.426530282904093
"2245",2,17.1,48,0,-0.442381462761543
"1254",3,13,51.1,0,-0.781468973265206
"1478",4,14,57.9,0,0.341758405278178
"3218",5,20,57.9,0,0.850389671033672
"588",6,11.1,55.9,0,-0.527153340387458
"1459",7,14,48.9,0,-1.01459163673647
"3164",1,20,61,0,0.89277560984663
"4122",2,28.9,61,0,0.384144344091136
"804",3,12,59,0,-0.336416615729148
"3191",4,20,46.9,0,-0.421188493355064
"688",5,11.1,51.1,0,-0.039715044038443
"3830",6,24.1,60.1,1,0.0874427724004306
"4137",7,28.9,62.1,0,-0.781468973265206
"3038",1,19,60.1,0,-0.0185220746319641
"2570",2,18.1,52,0,0.405337313497615
"2516",3,17.1,51.1,0,-0.378802554542106
"2961",4,19,55.9,0,0.29937246646522
"2909",5,19,61,0,0.0450568335874727
"1082",6,13,61,0,0.596074038155925
"3861",7,25.1,54,1,-0.251644738103232
"3568",1,22,37.9,0,-0.230451768696753
"3290",2,21,48,0,-0.993398667329995
"3531",3,22,59,0,-0.527153340387458
"3331",4,21,41,0,-0.0185220746319641
"793",5,12,37,0,-0.463574432168022
"708",6,12,50,0,-2.41332761756408
"3852",7,25.1,50,1,-2.47690652578352
"3025",1,19,44.1,0,-2.03185416824746
"1452",2,14,48.9,0,-1.73515259655676
"342",3,9.9,48.9,0,-2.34974870934465
"440",4,9.9,51.1,0,-1.6927666577438
"99",5,8,51.1,0,-1.50202993308549
"461",6,11.1,54,1,-0.0469247673441043
"2018",7,15.9,55,1,-3.05739682929223
"3878",1,25.1,55,1,-2.23901607458789
"4013",2,27,41,0,-0.865305522048449
"3730",3,22.9,53.1,0,0.625316566877322
"2525",4,17.1,53.1,0,-1.50831897217329
"3610",5,22,51.1,0,0.333037725911484
"3132",6,20,41,0,-1.42063531988354
"3858",7,25.1,52,0,-1.47909108807671
"3494",1,22,52,0,-0.573026681082612
"3818",2,24.1,28.9,0,-0.806849753855282
"3877",3,25.1,45,0,-1.01144494253137
"1616",4,15,48,0,-0.485343028792861
"4267",5,40,48.9,0,0.128442537235398
"4216",6,33,37,0,-1.42063531988354
"2512",7,17.1,35.1,0,-0.543798796986028
"4241",1,35.9,54,0,-2.3851554950708
"3940",2,26,54,0,-0.777621869758698
"2695",3,18.1,48.9,0,-0.865305522048449
"2095",4,15.9,48.9,0,-1.1283564789177
"3383",5,21,48.9,0,0.0992146531388144
"3047",6,19,35.1,1,-0.514570912889444
"2708",7,18.1,39.9,0,-1.62523050855963
"870",1,12,39.9,0,-1.36217955169037
"1786",2,15,48.9,0,-1.44986320398012
"2416",3,17.1,48.9,0,-0.543798796986028
"2236",4,17.1,34,0,-0.368431492406526
"2189",5,15.9,42.1,0,-0.0469247673441043
"4282",6,46,42.1,1,-0.251519956020191
"3905",7,25.1,26.1,0,-1.77136992904255
"442",1,11.1,30,0,0.800683871456824
"1215",2,13,39.2,0,-0.309975724213358
"580",3,11.1,46.9,0,-0.485343028792861
"689",4,11.1,51.1,1,-1.06990071072454
"3924",5,25.1,53.6,1,0.0992146531388144
"3272",6,20,53.1,0,0.303809841814901
"2204",7,15.9,35.1,0,-0.426887260599693
"1274",1,14,50,0,-0.251519956020191
"2151",2,15.9,51.8,1,-0.163836303730439
"3465",3,21,51.1,0,-0.368431492406526
"2551",4,18.1,50,0,0.508405030490987
"964",5,12,51.1,0,1.00527906013291
"2212",6,15.9,53.1,0,-1.39140743578696
"2210",7,15.9,53.1,0,-1.62523050855963
"3335",1,21,43,0,0.596088682780738
"2785",2,18.1,35.1,0,0.128442537235398
"3246",3,20,44.1,0,-0.193064187827023
"3468",4,21,53.1,0,-0.514570912889444
"4200",5,32.1,57,0,-0.163836303730439
"4021",6,27,57,0,-1.39140743578696
"4046",7,27,44.1,0,-1.15758436301429
"3856",1,25.1,50,0,-2.64820645194006
"2794",2,18.1,51.1,1,-1.18681224711087
"3497",3,22,52,0,-0.923761290241617
"2568",4,18.1,52,0,-1.80059781313913
"2497",5,17.1,44.1,0,-0.982217058434784
"3446",6,21,44.1,0,-1.09912859482112
"3824",7,24.1,42.1,0,-1.18681224711087
"3713",1,22.9,42.1,0,-0.193064187827023
"3024",2,19,42.1,0,-1.06990071072454
"2541",3,18.1,46,0,-1.1283564789177
"3081",4,20,48,0,0.976051176036327
"3481",5,22,46,0,1.26833001700216
"2003",6,15.9,41,0,-0.748393985662114
"3466",7,21,51.1,1,-1.39140743578696
"3496",1,22,52,1,1.29755790109875
"4156",2,29.9,55,0,-0.748393985662114
"987",3,13,54,0,0.0407588849456469
"1351",4,14,45,0,-0.485343028792861
"578",5,11.1,46.9,0,1.29755790109875
"4038",6,27,57.9,1,-0.923761290241617
"4144",7,29.9,36,0,-0.309975724213358
"3487",1,22,48,0,0.771455987360241
"2213",2,15.9,53.1,0,0.303809841814901
"1290",3,14,54,1,0.771455987360241
"1363",4,14,55,0,-0.163836303730439
"1147",5,13,55.9,1,2.26207807628601
"2422",6,17.1,55.9,1,0.0699867690422307
"2654",7,18.1,61,1,-0.748393985662114
"3668",1,22.9,61,0,0.216126189525149
"2576",2,18.1,54,0,0.157670421331982
"2579",3,18.1,54,0,-0.339203608309942
"4107",4,28.9,50,1,-0.543798796986028
"2841",5,19,54,1,0.654544450973906
"1292",6,14,54,0,0.0992146531388144
"3302",7,21,52,0,-0.514570912889444
"3294",1,21,50,0,0.420721378201236
"2322",2,17.1,41,0,-0.368431492406526
"3070",3,20,46,0,0.0115310008490632
"3697",4,22.9,57.9,0,-0.105380535537272
"4089",5,28,57.9,1,0.157670421331982
"3880",6,25.1,57,0,-0.222292071923607
"983",7,13,52,0,-0.806849753855282
"2573",1,18.1,52,0,0.128442537235398
"990",2,13,54,0,-0.952989174338201
"3102",3,20,54,0,-0.923761290241617
"3147",4,20,55,0,-0.0469247673441043
"3945",5,26,55,1,1.70674827845092
"2713",6,18.1,55.9,1,0.245354073621733
"3215",7,20,57.9,0,0.0115310008490632
"2431",1,17.1,57.9,0,-0.0469247673441043
"2046",2,15.9,61,0,0.800683871456824
"1242",3,13,62.1,0,0.333037725911484
"1382",4,14,63,1,1.35601366929192
"2049",5,15.9,63,0,0.216126189525149
"2846",6,19,64,0,-0.0761526514406881
"3498",7,22,54,0,-1.27449589940062
"1953",1,15.9,54,0,-1.33295166759379
"4272",2,41,55.9,0,-0.836077637951866
"3691",3,22.9,55.9,0,-0.0761526514406881
"2106",4,15.9,55.9,0,-1.39140743578696
"1740",5,15,66,0,-0.251519956020191
"547",6,11.1,66,0,0.0115310008490632
"2421",7,17.1,55.9,0,-0.397659376503109
"531",1,11.1,57,0,-0.836077637951866
"1708",2,15,57,0,-1.18681224711087
"3163",3,20,61,0,0.859139639649992
"3355",4,21,61,0,1.85288769893384
"3307",5,21,54,0,2.23285019218943
"2843",6,19,54,0,1.06373482832608
"542",7,11.1,63,0,-0.193064187827023
"2371",1,17.1,63,0,-0.0761526514406881
"2423",2,17.1,55.9,0,-0.0761526514406881
"2364",3,17.1,61,1,-0.982217058434784
"1895",4,15,62.1,1,1.94057135122359
"434",5,9.9,62.1,0,2.34976172857576
"3886",6,25.1,61,0,0.245354073621733
"4150",7,29.9,54,0,-0.719166101565531
"4174",1,31.1,54,0,0.303809841814901
"4110",2,28.9,54,0,0.333037725911484
"3859",3,25.1,52,1,0.449949262297819
"3171",4,20,66,1,0.683772335070489
"479",5,11.1,72,1,1.3852415533885
"480",6,11.1,72,1,-0.222292071923607
"680",7,11.1,62.1,1,0.625316566877322
"1088",1,13,63,1,0.391493494104652
"2919",2,19,63,1,0.888367523746576
"2162",3,15.9,66.9,0,1.50215308977483
"2022",4,15.9,55,0,1.06373482832608
"1077",5,13,59,1,1.15141848061583
"3754",6,24.1,68,1,1.88211558303042
"470",7,11.1,68,0,1.00527906013291
"3434",1,21,66.9,1,1.44369732158167
"1550",2,14,66.9,0,-0.193064187827023
"1244",3,13,62.1,0,0.566860798684154
"541",4,11.1,63,0,0.742228103263657
"2471",5,17.1,66.9,1,0.888367523746576
"3015",6,19,66.9,1,0.245354073621733
"638",7,11.1,73.9,1,-0.0761526514406881
"1203",1,13,73.9,1,-0.865305522048449
"2764",2,18.1,82.9,0,2.02825500351334
"468",3,11.1,64,0,0.800683871456824
"606",4,11.1,69.1,1,0.946823291939743
"1502",5,14,69.1,0,1.03450694422949
"912",6,12,64.9,1,0.449949262297819
"1647",7,15,72,1,0.420721378201236
"287",1,9.9,77,0,0.771455987360241
"777",2,12,77,0,0.654544450973906
"2974",3,19,69.1,1,0.771455987360241
"3368",4,21,70,1,0.946823291939743
"1984",5,15.9,73,0,2.37898961267235
"1199",6,13,73.9,0,0.683772335070489
"923",7,12,73.9,1,-0.280747840116774
"1421",1,14,75,1,1.00527906013291
"1036",2,13,77,1,0.888367523746576
"2310",3,17.1,77,0,2.23285019218943
"1210",4,13,73.9,0,0.508405030490987
"2435",5,17.1,69.1,1,2.4666732649621
"2186",6,15.9,75.9,1,0.946823291939743
"2488",7,17.1,75.9,0,0.596088682780738
"1023",1,13,73,0,-0.105380535537272
"1987",2,15.9,73,0,0.946823291939743
"2383",3,17.1,70,0,-0.573026681082612
"2600",4,18.1,73,0,0.391493494104652
"757",5,12,73,0,2.05748288760993
"420",6,9.9,75.9,0,2.32053384447918
"423",7,9.9,75.9,1,1.70674827845092
"2397",1,17.1,75,0,0.537632914587571
"1114",2,13,75,0,0.303809841814901
"64",3,8,75,1,0.566860798684154
"1488",4,14,80.1,1,1.09296271242266
"1804",5,15,80.1,1,0.917595407843159
"2479",6,17.1,75.9,1,-0.251519956020191
"571",7,11.1,79,0,-1.01144494253137
"2116",1,15.9,80.1,0,-0.865305522048449
"1497",2,14,80.1,0,-0.0469247673441043
"2297",3,17.1,84,0,0.157670421331982
"1015",4,13,84,0,0.0115310008490632
"219",5,8.9,73.9,0,0.333037725911484
"2608",6,18.1,77,0,-0.748393985662114
"135",7,8.9,77,0,-1.01144494253137
"774",1,12,77,0,-0.163836303730439
"2311",2,17.1,77,0,-0.514570912889444
"1978",3,15.9,88,0,0.654544450973906
"268",4,9.9,88,1,-0.397659376503109
"570",5,11.1,79,1,0.800683871456824
"572",6,11.1,79,1,-0.222292071923607
"1053",7,13,81,1,-0.105380535537272
"790",1,12,81,1,0.537632914587571
"3241",2,20,82.9,0,0.216126189525149
"1323",3,14,88,0,0.157670421331982
"1655",4,15,88,1,0.362265610008068
"269",5,9.9,88,0,1.44369732158167
"1017",6,13,88,1,0.596088682780738
"1322",7,14,84,1,-0.573026681082612
"2476",1,17.1,82.9,0,-0.163836303730439
"2170",2,15.9,82.9,0,-0.251519956020191
"650",3,11.1,82.9,0,0.0699867690422307
"1222",4,13,82.9,0,0.391493494104652
"1417",5,14,90,1,0.742228103263657
"2393",6,17.1,90,0,0.625316566877322
"385",7,9.9,84.9,0,0.0992146531388144
"515",1,11.1,81,0,0.274581957718317
"1048",2,13,81,0,0.245354073621733
"1414",3,14,86,0,1.15141848061583
"1108",4,13,86,1,0.420721378201236
"1977",5,15.9,84,1,1.12219059651925
"915",6,12,84.9,1,0.829911755553408
"2757",7,18.1,84.9,0,-0.514570912889444
"3003",1,19,84.9,0,0.976051176036327
"2392",2,17.1,86,0,-0.0176968832475206
"1809",3,15,80.1,0,-0.660710333372363
"1155",4,13,80.1,0,0.0699867690422307
"325",5,9.9,75,0,1.94057135122359
"1669",6,15,77,0,0.654544450973906
"176",7,8.9,79,0,0.596088682780738
"568",1,11.1,79,0,-1.27449589940062
"2442",2,17.1,78.1,0,0.186898305428566
"2981",3,19,78.1,0,-0.689938217468947
"2937",4,19,79,0,-0.0469247673441043
"1558",5,14,82.9,0,0.0407588849456469
"523",6,11.1,81,1,0.742228103263657
"141",7,8.9,81,1,-0.368431492406526
"1052",1,13,81,1,-1.04067282662795
"178",2,8.9,79,1,-0.339203608309942
"1994",3,15.9,81,0,-1.56677474036646
"265",4,9.9,84,1,-0.222292071923607
"484",5,11.1,84,1,0.362265610008068
"1756",6,15,82,0,0.625316566877322
"551",7,11.1,82,0,-0.0176968832475206
"892",1,12,78.1,0,-0.748393985662114
"834",2,12,82,1,-0.0469247673441043
"2169",3,15.9,82.9,1,0.245354073621733
"1556",4,14,82.9,0,0.508405030490987
"932",5,12,82.9,0,0.128442537235398
"91",6,8,75.9,0,0.420721378201236
"513",7,11.1,77,0,-0.982217058434784
"506",1,11.1,77,0,-0.894533406145033
"770",2,12,77,0,1.61906462616117
"2487",3,17.1,75.9,0,-0.689938217468947
"3022",4,19,75.9,0,0.479177146394403
"1819",5,15,78.1,0,2.32053384447918
"384",6,9.9,84.9,0,-0.368431492406526
"554",7,11.1,86,0,-0.719166101565531
"1109",1,13,86,0,0.859139639649992
"1225",2,13,75.9,1,1.18064636471241
"2863",3,19,77,0,0.683772335070489
"2861",4,19,77,0,1.41446943748508
"3589",5,22,73.9,0,1.91134346712701
"386",6,9.9,73.9,0,-0.660710333372363
"3184",7,20,79,0,0.303809841814901
"1434",1,14,79,0,0.274581957718317
"1519",2,14,78.1,0,0.0992146531388144
"65",3,8,75,0,1.47292520567825
"3409",4,21,78.1,0,-0.163836303730439
"3785",5,24.1,63,0,1.09296271242266
"4008",6,27,68,0,0.0699867690422307
"1986",7,15.9,73,0,-0.0176968832475206
"2466",1,17.1,73.9,0,-0.719166101565531
"564",2,11.1,75,0,-1.65445839265621
"2071",3,15.9,75,0,-0.0176968832475206
"2743",4,18.1,71.1,0,0.888367523746576
"999",5,13,68,0,1.26833001700216
"3017",6,19,66.9,0,1.26833001700216
"4091",7,28,64.9,0,-1.1283564789177
"3664",1,22.9,59,0,1.15141848061583
"3675",2,22.9,63,0,-0.426887260599693
"3866",3,25.1,68,1,-1.18681224711087
"1739",4,15,66,1,1.50215308977483
"724",5,12,68,1,1.12219059651925
"1004",6,13,68,0,0.596088682780738
"2916",7,19,63,0,-1.21604013120745
"1553",1,14,66.9,0,-2.00519300181522
"363",2,9.9,69.1,1,-0.193064187827023
"623",3,11.1,71.1,0,0.888367523746576
"2444",4,17.1,71.1,0,0.566860798684154
"4083",5,28,70,1,1.82365981483726
"165",6,8.9,70,1,-0.280747840116774
"313",7,9.9,70,1,-1.06990071072454
"1403",1,14,70,0,-0.631482449275779
"3679",2,22.9,70,0,-1.01144494253137
"3175",3,20,70,0,0.0407588849456469
"3451",4,21,62.1,0,0.420721378201236
"2454",5,17.1,64.9,0,1.47292520567825
"83",6,8,64.9,0,1.209874248809
"3001",7,19,64.9,0,-1.27449589940062
"1563",1,14,75.9,1,0.333037725911484
"1233",2,13,75.9,1,0.303809841814901
"934",3,12,75.9,1,-0.543798796986028
"2395",4,17.1,75,1,0.888367523746576
"3506",5,22,72,0,0.508405030490987
"1728",6,15,63,0,0.683772335070489
"15",7,7,66,1,0.157670421331982
"222",1,8.9,66.9,0,0.0407588849456469
"717",2,12,64,0,-0.163836303730439
"3016",3,19,66.9,0,1.09296271242266
"399",4,9.9,66.9,0,0.976051176036327
"609",5,11.1,69.1,1,0.0699867690422307
"1178",6,13,71.1,0,0.274581957718317
"1523",7,14,71.1,0,-1.53754685626988
"2139",1,15.9,71.1,0,-0.134608419633856
"3579",2,22,71.1,0,-1.56677474036646
"2777",3,18.1,60.1,0,-0.748393985662114
"2666",4,18.1,66,0,-0.543798796986028
"1815",5,15,69.1,0,0.742228103263657
"3971",6,26,69.1,0,-0.426887260599693
"2977",7,19,69.1,1,-1.39140743578696
"3237",1,20,64.9,0,-0.602254565179196
"29",2,8,50,0,0.391493494104652
"4129",3,28.9,64.9,0,0.537632914587571
"2998",4,19,64.9,0,0.157670421331982
"3611",5,22,51.1,0,0.0115310008490632
"3297",6,21,50,0,1.00527906013291
"3087",7,20,50,0,-1.04067282662795
"3684",1,22.9,46.9,0,0.625316566877322
"4064",2,28,52,0,0.625316566877322
"2425",3,17.1,55.9,0,0.362265610008068
"873",4,12,55.9,0,-2.73589010422981
"2721",5,18.1,57.9,0,-1.50831897217329
"3698",6,22.9,57.9,0,-1.09912859482112
"2038",7,15.9,59,0,-1.36217955169037
"3604",1,22,62.1,0,-0.894533406145033
"2656",2,18.1,61,0,-1.30372378349721
"3777",3,24.1,59,0,-0.163836303730439
"3829",4,24.1,60.1,0,0.186898305428566
"2265",5,17.1,52,0,0.391493494104652
"4120",6,28.9,59,0,-0.134608419633856
"3255",7,20,60.1,0,-0.865305522048449
"107",1,8.9,50,0,-0.456115144696277
"2034",2,15.9,57,0,0.976051176036327
"2032",3,15.9,57,0,0.391493494104652
"3636",4,22.9,54,1,0.0407588849456469
"3621",5,22.9,48,0,0.596088682780738
"3744",6,24.1,48,0,-0.923761290241617
"2883",7,19,45,0,-1.47909108807671
"3600",1,22,44.1,0,-0.0761526514406881
"2492",2,17.1,44.1,0,0.508405030490987
"4098",3,28,42.1,0,-0.689938217468947
"3742",4,24.1,48,0,1.47292520567825
"3838",5,24.1,53.1,0,2.58358480134843
"3930",6,26,46,1,-0.193064187827023
"1702",7,15,45,0,-1.27449589940062
"3140",1,20,45,0,-0.222292071923607
"3027",2,19,44.1,0,-0.543798796986028
"300",3,9.9,45,0,-0.485343028792861
"2559",4,18.1,50,0,0.157670421331982
"4245",5,35.9,57.9,0,0.771455987360241
"4264",6,39,39.9,0,-0.514570912889444
"3927",7,26,32,0,-3.02816894519565
"1604",1,15,36,0,-2.79434587242298
"2004",2,15.9,41,0,-2.09287665410497
"2091",3,15.9,48.9,0,-1.8590535813323
"711",4,12,52,0,-2.3851554950708
"530",5,11.1,55,0,0.420721378201236
"1625",6,15,54,1,-1.04067282662795
"2268",7,17.1,54,1,0.32655595943803
"1253",1,13,51.1,0,-1.83148965547847
"2528",2,17.1,53.6,1,-1.23724521079132
"1071",3,13,57,1,-0.424068602272057
"2515",4,17.1,51.1,1,-0.924484976745449
"2098",5,15.9,48.9,0,-0.955761000150036
"1454",6,14,48.9,0,-2.61339024059315
"2341",7,17.1,45,0,-2.39445807676104
"1269",1,14,46,0,-0.70555281291334
"1919",2,15.9,46,0,-0.39279257886747
"4095",3,28,42.1,0,-1.5187294214326
"2534",4,18.1,46,0,0.482936076460965
"3269",5,20,53.1,1,1.07718052114812
"3805",6,24.1,48.9,1,-0.517896672485818
"4251",7,36.9,48.9,0,-2.2380779597381
"4179",1,31.1,39,0,-1.48745339802801
"2884",2,19,45,0,-0.267688485249122
"1789",3,15,48.9,0,-0.205136438439948
"2099",4,15.9,48.9,0,1.04590449774353
"2812",5,19,48,0,-0.924484976745449
"1614",6,15,48,0,-1.08086509376838
"2005",7,15.9,43,0,-0.674276789508753
"2839",1,19,52,1,-0.330240532058296
"3305",2,21,52,0,-0.924484976745449
"2770",3,18.1,42.1,0,-0.267688485249122
"4146",4,29.9,52,0,-0.267688485249122
"3633",5,22.9,52,0,-0.924484976745449
"2250",6,17.1,50,0,-0.142584391630774
"2260",7,17.1,50,0,-1.55000544483719
"1597",1,14,51.1,1,-1.01831304695921
"2519",2,17.1,51.1,1,-0.111308368226187
"1355",3,14,45,0,-0.267688485249122
"976",4,13,36,0,-0.0487563214170135
"4178",5,31.1,39,0,1.32738870838481
"4104",6,28.9,16,0,-1.33107328100508
"2687",7,18.1,46.9,0,-1.80021363207388
"3797",1,24.1,46.9,1,-0.298964508653709
"4019",2,27,45,0,-0.205136438439948
"1460",3,14,48.9,0,-0.861932929936275
"1138",4,13,48.9,0,-0.830656906531688
"3521",5,22,55,1,1.01462847433894
"3522",6,22,55,0,-0.111308368226187
"1237",7,13,44.1,0,-1.73766158526471
"3445",1,21,44.1,0,-0.0174802980124266
"2817",2,19,48,0,-0.173860415035361
"2822",3,19,50,0,-0.0174802980124266
"1724",4,15,61,0,-0.0800323448216005
"3540",5,22,61,1,0.357831982842617
"4103",6,28,53.1,0,-0.39279257886747
"978",7,13,46,0,-0.736828836317927
"3266",1,20,51.1,1,-2.45701012357021
"3267",2,20,51.1,0,-1.20596918738673
"1578",3,14,44.1,0,-1.58128146824178
"2773",4,18.1,44.1,0,-1.55000544483719
"3984",5,26,44.1,0,0.138899819010508
"2990",6,19,28.9,0,-0.799380883127101
"3570",7,22,39.9,0,-1.01831304695921
"1465",1,14,39.9,0,-0.580448719294992
"2957",2,19,39.9,0,-1.14341714057756
"1704",3,15,45,0,1.42121677859857
"2995",4,19,48.2,1,-0.549172695890405
"3384",5,21,48.9,0,0.545488123270139
"4195",6,32.1,46,0,0.138899819010508
"3067",7,20,46,0,-0.0174802980124266
"3804",1,24.1,48.9,0,-0.236412461844535
"3562",2,22,48.9,0,0.264003912628856
"3983",3,26,44.1,0,-0.893208953340862
"3287",4,21,46,0,0.983352450934357
"1266",5,14,46,0,0.858248357316009
"4020",6,27,45,0,-0.611724742699579
"3943",7,26,43,0,-1.61255749164636
"2811",1,19,46,0,1.64014894243068
"4056",2,28,46,0,0.107623795605921
"4145",3,29.9,46,0,0.545488123270139
"3088",4,20,50,0,-0.455344625676644
"1935",5,15.9,50,0,0.545488123270139
"1139",6,13,48.9,0,-0.987037023554623
"3565",7,22,48.9,0,-0.517896672485818
"3244",1,20,44.1,0,0.701868240293074
"2096",2,15.9,48.9,0,-0.549172695890405
"709",3,12,50,0,-1.36234930440967
"2255",4,17.1,50,1,-0.111308368226187
"1938",5,15.9,50,1,-0.580448719294992
"3854",6,25.1,50,0,-1.20596918738673
"3301",7,21,52,1,0.608040170079313
"968",1,12,53.1,0,-0.0174802980124266
"1598",2,14,53.1,0,-0.580448719294992
"861",3,12,46.9,0,0.295279936033443
"3558",4,22,46.9,0,0.889524380720596
"1580",5,14,44.1,0,-0.267688485249122
"3749",6,24.1,52,1,0.420384029651791
"3629",7,22.9,52,1,-0.580448719294992
"2691",1,18.1,48.9,0,-0.142584391630774
"1627",2,15,54,0,1.17100859136188
"2888",3,19,55,0,0.357831982842617
"1475",4,14,55.9,1,-1.20596918738673
"2025",5,15.9,57,1,-1.70638556186012
"2896",6,19,57,0,-1.29979725760049
"980",7,13,48,0,-1.70638556186012
"1943",1,15.9,52,0,-1.45617737462343
"2635",2,18.1,55,0,-1.73766158526471
"3503",3,22,68,0,-0.955761000150036
"1638",4,15,68,0,-0.861932929936275
"1511",5,14,78.1,0,0.701868240293074
"807",6,12,61,1,-0.70555281291334
"1631",7,15,64,1,-1.33107328100508
"1637",1,15,64,1,-0.298964508653709
"2968",2,19,57.9,1,-0.861932929936275
"3217",3,20,57.9,0,0.264003912628856
"970",4,12,53.1,0,0.701868240293074
"2019",5,15.9,55,0,1.48376882540775
"2636",6,18.1,55,0,-0.205136438439948
"3099",7,20,54,0,0.138899819010508
"2345",1,17.1,57,1,1.17100859136188
"591",2,11.1,57.9,1,-0.236412461844535
"690",3,11.1,51.1,0,0.6393161934839
"110",4,8.9,54,0,-0.861932929936275
"353",5,9.9,57.9,0,1.26483666157564
"3398",6,21,57.9,0,1.95290917647655
"3769",7,24.1,55,1,0.608040170079313
"4090",1,28,57.9,1,-0.111308368226187
"3575",2,22,57.9,0,-0.643000766104166
"1485",3,14,57.9,0,-0.0800323448216005
"3293",4,21,50,0,0.701868240293074
"2566",5,18.1,52,0,1.13973256795729
"2587",6,18.1,68,0,2.54715362116371
"1641",7,15,68,0,0.826972333911422
"2123",1,15.9,69.1,0,1.1084565445527
"2129",2,15.9,69.1,0,1.04590449774353
"2372",3,17.1,63,0,0.0763477722013344
"2287",4,17.1,68,0,0.764420287102248
"1988",5,15.9,73,0,3.26650215946921
"1663",6,15,73,0,1.04590449774353
"3505",7,22,68,0,0.764420287102248
"2849",1,19,64,0,0.0137957253921604
"3317",2,21,64,0,0.670592216888487
"3786",3,24.1,63,0,2.04673724669031
"2891",4,19,57,0,1.73397701264444
"1076",5,13,59,0,1.51504484881234
"2503",6,17.1,62.1,0,1.1084565445527
"3590",7,22,66.9,1,0.576764146674726
"3238",1,20,66.9,0,0.670592216888487
"1583",2,14,60.1,0,0.170175842415095
"676",3,11.1,60.1,1,0.295279936033443
"3606",4,22,62.1,1,0.983352450934357
"720",5,12,64,0,0.983352450934357
"1003",6,13,68,0,1.1084565445527
"1964",7,15.9,68,0,0.0763477722013344
"3956",1,26,66,0,-0.455344625676644
"1477",2,14,57.9,0,0.670592216888487
"258",3,9.9,68,0,0.0450717487967474
"161",4,8.9,70,1,2.20311736371325
"55",5,8,70,1,1.48376882540775
"3976",6,26,66.9,1,-1.5187294214326
"3783",7,24.1,61,0,-0.267688485249122
"3427",1,21,57.2,0,-0.361516555462883
"1963",2,15.9,68,0,0.107623795605921
"2292",3,17.1,68,0,-0.173860415035361
"82",4,8,64.9,0,-0.987037023554623
"31",5,8,64,0,0.701868240293074
"474",6,11.1,68,1,0.826972333911422
"127",7,8.9,73,0,-0.424068602272057
"748",1,12,73,0,0.764420287102248
"1217",2,13,66.9,1,0.295279936033443
